Standort;LSA-Nr.;Baulastträger;Bezirk;X;Y
Brühler Straße / Markusstraße / Urfelder Straße;2024;Stadt Köln;Rodenkirchen;23.561.165,3;56.407.333,7
Brühler Straße / Raderthalgürtel / Raderberggürtel;2023;Stadt Köln;Rodenkirchen;23.563.345,5;56.411.117,5
Brühler Straße / Rheinsteinstraße;2020;Stadt Köln;Rodenkirchen;23.565.842,5;56.415.458,8
Brühler Straße / Truppenamt;2025;Stadt Köln;Rodenkirchen;23.558.760,7;56.403.245,9
Friedrich-Ebert-Straße / Römerstraße / Konrad-Adenauer-Straße;2130;Stadt Köln;Rodenkirchen;23.584.141,1;56.395.952,8
Godorfer Hauptstraße / IKEA;0241;StrNRW;Rodenkirchen;23.574.432,7;56.362.987,7
Godorfer Hauptstraße / Kiesgrubenweg / Bonner Landstraße;0203;StrNRW;Rodenkirchen;23.574.204,6;56.367.147,6
Godorfer Hauptstraße / Otto-Hahn-Straße;0204;StrNRW;Rodenkirchen;23.574.597,2;56.360.067,2
Gustav-Heinemann-Ufer / Bayenthalgürtel;2312;Stadt Köln;Rodenkirchen;23.577.771,9;56.414.793,4
Gustav-Heinemann-Ufer / Schönhauser Straße;2310;Stadt Köln;Rodenkirchen;23.574.236,5;56.422.192,8
Gustav-Heinemann-Ufer / Tacitusstraße;2311;Stadt Köln;Rodenkirchen;23.575.751,2;56.418.718,0
Hauptstraße / Weißer Straße / Sürther Straße / Gudrunstraße / Walther-Rathenau-Straße;2102;Stadt Köln;Rodenkirchen;23.591.570,7;56.396.247,1
Heinrichstraße / Müller-Armack-Straße / Schule;2107;Stadt Köln;Rodenkirchen;23.612.010,2;56.376.808,6
Höninger Weg / Am Vorgebirgstor / Pohligstraße;2050;Stadt Köln;Rodenkirchen;23.553.144,3;56.426.031,7
Höninger Weg / Bernkasteler Straße / Zollstocksweg;2053;Stadt Köln;Rodenkirchen;23.552.600,1;56.417.818,5
Höninger Weg / Gottesweg;2052;Stadt Köln;Rodenkirchen;23.552.988,6;56.419.253,7
Höninger Weg / Höninger Platz;2056;Stadt Köln;Rodenkirchen;23.553.986,2;56.408.622,4
Höninger Weg / Kalscheurer Weg / Walberberger Straße;2054;Stadt Köln;Rodenkirchen;23.552.695,5;56.415.983,5
Höninger Weg / Zollstockgürtel;2055;Stadt Köln;Rodenkirchen;23.553.142,9;56.412.713,2
Industriestraße / Bunsenstraße;0232;StrNRW;Rodenkirchen;23.577.437,2;56.349.955,5
Industriestraße / Kerkrader Straße;0233;StrNRW;Rodenkirchen;23.575.752,4;56.345.921,4
Industriestraße / Ober Buschweg / Emil-Hoffmann-Straße;2124;Stadt Köln;Rodenkirchen;23.590.640,1;56.367.771,3
Industriestraße / Theodor-Heuss-Straße / Degussa;0234;StrNRW;Rodenkirchen;23.575.456,1;56.341.734,9
Industriestraße / Wattigniesstraße / Abfahrt;2123;Stadt Köln;Rodenkirchen;23.592.820,5;56.372.916,9
Industriestraße / Wattigniesstraße / Auffahrt;2122;Stadt Köln;Rodenkirchen;23.593.980,0;56.372.050,2
Industriestraße / Zum Forstbotanischen Garten / Schillingsrotter Straße;0250;StrNRW;Rodenkirchen;23.585.726,2;56.388.375,7
Kerkrader Straße / Am Domenhof;0235;StrNRW;Rodenkirchen;23.573.124,3;56.346.625,6
Kerkrader Straße / BAB555-Ost und West ;0236;StrNRW;Rodenkirchen;23.570.695,8;56.347.955,1
Kiesgrubenweg / Emil-Hoffmann-Straße / Wattigniestraße;0268;StrNRW;Rodenkirchen;23.586.102,6;56.369.895,9
Kiesgrubenweg / Unter den Birken;0267;StrNRW;Rodenkirchen;23.584.764,6;56.369.720,2
Koblenzer Straße / Schönhauser Straße;2071;Stadt Köln;Rodenkirchen;23.570.955,5;56.420.644,2
Militärringstraße / Leyboldstraße / Konrad-Adenauer-Straße;0298;StrNRW;Rodenkirchen;23.580.055,6;56.404.244,0
Militärringstraße / Oberer Komarweg / Am Eifeltor;0209;StrNRW;Rodenkirchen;23.542.600,8;56.402.910,4
Militärringstraße / Schillingsrotter Weg / Feuerwehr Ausfahrt;0200;StrNRW;Rodenkirchen;23.575.790,9;56.399.764,5
Militärringstraße / Zum Forstbotanischen Garten;0299;StrNRW;Rodenkirchen;23.576.780,1;56.400.765,0
Oberländer Ufer / An der Alteburger Mühle;2313;Stadt Köln;Rodenkirchen;23.579.694,9;56.411.490,2
Oberländer Ufer / Marienburger Straße;2314;Stadt Köln;Rodenkirchen;23.580.643,1;56.410.103,8
Oberländer Ufer / Militärringstraße / Heinrich-Lübke-Ufer;2074;Stadt Köln;Rodenkirchen;23.582.655,5;56.407.180,2
Pohligstraße / Berlin-Kölnische Allee / Weyerstraßerweg;2049;Stadt Köln;Rodenkirchen;23.551.782,0;56.426.981,6
Raderberggürtel / Deutsche Welle / Schule / Wender;2064;Stadt Köln;Rodenkirchen;23.565.451,3;56.411.056,9
Raderberggürtel / Mertener Straße / Schule;2065;Stadt Köln;Rodenkirchen;23.567.551,0;56.410.966,5
Raderthalgürtel / Leichweg / Schule;2062;Stadt Köln;Rodenkirchen;23.557.689,4;56.411.792,8
Raderthalgürtel / Raderthaler Straße / Wender;2063;Stadt Köln;Rodenkirchen;23.561.605,8;56.411.275,3
Ringstraße / Maternusstraße / Brückenstraße;2110;Stadt Köln;Rodenkirchen;23.586.647,4;56.396.879,5
Ringstraße / Schillingsrotter Straße;2111;Stadt Köln;Rodenkirchen;23.587.871,9;56.394.930,6
Ringstraße / Siegfriedstraße / Rotterbergstraße;2112;Stadt Köln;Rodenkirchen;23.590.696,8;56.391.784,8
Rodenkirchener Straße / Lerchenweg / Adlerstraße;2078;Stadt Köln;Rodenkirchen;23.565.306,5;56.381.928,4
Schillingsrotter Straße / Römerstraße;2131;Stadt Köln;Rodenkirchen;23.586.443,3;56.390.065,6
Sürther Hauptstraße / Kölnstraße / Rheinaustraße / Schule;2121;Stadt Köln;Rodenkirchen;23.601.384,9;56.367.062,3
Sürther Straße / Eygelshovener Straße / Schule-Zentrum;2118;Stadt Köln;Rodenkirchen;23.595.569,1;56.380.719,0
Sürther Straße / Grüngürtelstraße;2116;Stadt Köln;Rodenkirchen;23.593.583,8;56.386.523,3
Sürther Straße / Kölnstraße / Am Feldrain / Wattigniesstraße;2120;Stadt Köln;Rodenkirchen;23.596.371,4;56.372.911,6
Sürther Straße / Moselstraße;2115;Stadt Köln;Rodenkirchen;23.592.997,3;56.387.627,8
Sürther Straße / Pfarrer-Te-Reh-Straße / Martinsweg;2117;Stadt Köln;Rodenkirchen;23.595.381,3;56.381.661,2
Sürther Straße / Siegfriedstraße;2132;Stadt Köln;Rodenkirchen;23.591.758,8;56.392.581,2
Vorgebirgstraße / Am Vorgebirgstor;2040;Stadt Köln;Rodenkirchen;23.557.103,3;56.423.683,2
Vorgebirgstraße / Bischofsweg;2039;Stadt Köln;Rodenkirchen;23.558.059,9;56.425.945,8
Vorgebirgstraße / Bodendorfer Straße;2043;Stadt Köln;Rodenkirchen;23.555.657,4;56.416.303,3
Vorgebirgstraße / Gottesweg / Zollstockweg;2042;Stadt Köln;Rodenkirchen;23.555.792,2;56.418.559,3
Vorgebirgstraße / Herthastraße / Homburger Straße;2041;Stadt Köln;Rodenkirchen;23.556.023,1;56.421.013,4
Vorgebirgstraße / Roisdorfer Straße / Schwalbacher Straße;2044;Stadt Köln;Rodenkirchen;23.555.528,0;56.413.342,7
Vorgebirgstraße / Zollstockgürtel / Raderthalgürtel;2045;Stadt Köln;Rodenkirchen;23.555.439,2;56.412.218,6
Weißer Straße / Grüngürtelstraße;2105;Stadt Köln;Rodenkirchen;23.597.068,1;56.389.063,2
Weißer Straße / Hammerschmidtstraße / Adolf-Menzel-Straße;2106;Stadt Köln;Rodenkirchen;23.603.205,6;56.384.701,1
Weißer Straße / Siegfriedstraße / Grimmelshausenstraße;2103;Stadt Köln;Rodenkirchen;23.593.340,0;56.393.710,0
Weißer Straße / Siegstraße;2104;Stadt Köln;Rodenkirchen;23.594.922,6;56.391.371,8
Zollstockgürtel / Kalscheurer Weg;2061;Stadt Köln;Rodenkirchen;23.551.293,9;56.413.479,9
Zollstockgürtel / Neuer Weyerstraßerweg / Bernkasteler Straße;2060;Stadt Köln;Rodenkirchen;23.548.679,2;56.415.152,2
Zum Forstbotanischen Garten / Friedrich-Ebert-Straße;0201;StrNRW;Rodenkirchen;23.580.965,6;56.393.969,6
