Standort;LSA-Nr.;Baulastträger;Bezirk;X;Y
Klettenberggürtel / Siebengebirgsallee;3188;Stadt Köln;Lindenthal;23.543.601,0;56.418.647,9
Kölner Straße / Otterweg / Biberweg;3005;Stadt Köln;Lindenthal;23.479.093,3;56.461.164,8
Kölner Weg / Am Weidenpesch / Kirchweg;3119;Stadt Köln;Lindenthal;23.494.437,7;56.444.519,6
Lindenthalgürtel / Bachemer Straße;3814;Stadt Köln;Lindenthal;23.531.320,7;56.436.989,0
Lindenthalgürtel / Franzstraße;3812;Stadt Köln;Lindenthal;23.532.226,3;56.435.143,9
Lindenthalgürtel / Gleueler Straße;3811;Stadt Köln;Lindenthal;23.532.413,3;56.434.059,6
Lindenthalgürtel / Herderstraße;3813;Stadt Köln;Lindenthal;23.531.610,2;56.436.429,8
Lindenthalgürtel / Kerpener Straße;3810;Stadt Köln;Lindenthal;23.533.510,0;56.432.778,2
Lindenthalgürtel / Rurstraße;3809;Stadt Köln;Lindenthal;23.533.972,8;56.431.757,8
Lise-Meitner-Ring / Egelspfad;0307;StrNRW;Lindenthal;23.491.285,0;56.466.266,0
Lise-Meitner-Ring / Ottostraße;0306;StrNRW;Lindenthal;23.483.034,7;56.467.971,0
Ludwig-Jahn-Straße / Stormstraße;3110;Stadt Köln;Lindenthal;23.486.376,6;56.455.864,0
Luxemburger Straße / Arnulfstraße;3507;Stadt Köln;Lindenthal;23.545.480,2;56.428.264,7
Luxemburger Straße / BAB4-Ost;0325;StrNRW;Lindenthal;23.530.684,5;56.407.200,5
Luxemburger Straße / BAB4-West;0326;StrNRW;Lindenthal;23.529.215,0;56.405.023,8
Luxemburger Straße / Breibergstraße / Manderscheider Straße;3512;Stadt Köln;Lindenthal;23.541.147,9;56.422.126,8
Luxemburger Straße / Geisbergstraße / Klettenbergpark;3517;Stadt Köln;Lindenthal;23.536.976,0;56.416.242,6
Luxemburger Straße / Gottesweg;3520;Stadt Köln;Lindenthal;23.542.691,2;56.424.349,5
Luxemburger Straße / Greinstraße / Wende-Amts.-u. Landgericht ;3504;Stadt Köln;Lindenthal;23.548.278,4;56.432.309,5
