Sto.-nr.;erl.Geschw. PKW;erl. Geschw. LKW;Standort1;Standort2;Standort3;
831;50;50;F7   Lindenthal               ;Oskar-Jäger-Straße, Lat. 15-7 ;in Fahrtrichtung Aachener Straße   ;   
832;50;50;F8   Nippes                   ;Neusser Straße, HausNr.413-405;in Fahrtrichtung stadteinwärts     ;   
833;50;50;F9   Nippes                   ;Neusser Straße, HausNr.391-420;in Fahrtrichtung stadtauswärts     ;   
834;30;30;G1   Niehl                    ;Niehler Kirchweg, Lat. 38-40  ;in FR. Friedrich-Karl-Straße       ;   
835;30;30;G2   Niehl                    ;Merkenicher Straße 267-247    ;in Fahrtrichtung stadteinwärts     ;   
836;30;30;G3   Niehl                    ;Merkenicher straße 222-240a   ;in Fahrtrichtung stadtauswärts     ;   
837;10;10;G4   Niehl                    ;Merkenicher Straße 97-65      ;in Fahrtrichtung In der Maienkammer;   
838;10;10;G5   Niehl                    ;Merkenicher Straße 66-104     ;in Fahrtrichtung Hillesheimstraße  ;   
839;30;30;G6   Klettenberg              ;Geisbergstraße, Haus Nr.30a-34;in Fahrtrichtung Franz-Marc-Straße ;   
840;30;30;G7   Klettenberg              ;Geisbergstraße, Haus Nr. 5-1  ;in Fahrtrichtung Luxemburger Straße;   
841;50;50;G8   Nippes                   ;Niehler Straße, Haus225-Lat.59;in Fahrtrichtung stadteinwärts     ;   
842;50;50;G9   Nippes                   ;Niehler Straße, HausNr.178-192;in Fahrtrichtung stadtauswärts     ;   
843;50;50;H1   Nippes                   ;Niehler Straße, Haus Nr. 9-7  ;in Fahrtrichtung Innere Kanalstraße;   
844;50;50;H2   Nippes                   ;Niehler Straße, Haus Nr. 17   ;in Fahrtrichtung Florastraße       ;   
845;50;50;H3   Niehl                    ;Niehler Straße, Laterne 104-96;in Fahrtrichting stadteinwärts     ;   
846;50;50;H4   Niehl                    ;Niehler Straße, Laterne 92-106;in Fahrtrichtung stadtauswärts     ;   
847;50;50;H5   Niehl                    ;Niehler Straße, Laterne 90-80 ;in Fahrtrichtung stadteinwärts     ;   
848;50;50;H6   Niehl                    ;Niehler Straße, Laterne 79-73 ;in Fahrtrichtung Nippes            ;   
849;50;50;H7   Niehl                    ;Niehler Straße, Laterne 73-79 ;in Fahrtrichtung Nesselrodestraße  ;   
850;30;30;H8   Merheim                  ;Broichstraße, Laterne 51-49   ;in Fahrtrichtung Olpener Straße    ;   
851;30;30;H9   Merheim                  ;Broichstraße, Laterne 49-53   ;in Fahrtrichtung Ostmerheimer Str. ;   
852;50;50;I1   Riehl                    ;Riehler Straße, Laterne 59-43 ;in Fahrtrichtung stadteinwärts     ;   
853;30;30;I2   Sürth                    ;Schlehenweg, Laterne 5-7      ;in Fahrtrichtung Am Ziegelofen     ;   
854;30;30;I3   Sürth                    ;Schlehenweg, Laterne 7-3      ;in Fahrtrichtung Am Feldrain       ;   
855;50;50;I4   Neustadt/Nord            ;Neusser Straße, Haus Nr. 79-71;in Fahrtrichtung stadteinwärts     ;   
856;50;50;I5   Poll                     ;Siegburger Str., Laterne 97-93;in Fahrtrichtung stadteinwärts     ;   
857;50;50;I6   Sülz                     ;Sülzgürtel, Haus Nr. 69-97    ;in Fahrtrichtung Curtiusstraße     ;   
858;50;50;I7   Sülz                     ;Sülzgürtel, Laterne 57-47     ;in Fahrtrichtung Mommsenstraße     ;   
859;50;50;I8   Sülz                     ;Sülzgürtel, Laterne 39-35     ;in FR. Münstereifeler Straße       ;   
860;50;50;I9   Sülz                     ;Sülzgürtel, Laterne 23-19     ;in Fahrtrichtung Luxemburger Straße;   
861;50;50;J1   Sülz                     ;Sülzgürtel, Laterne 12-14     ;in Fahrtrichtung Berrenrather Str. ;   
862;50;50;J2   Sülz                     ;Sülzgürtel, Haus Nr. 48-52    ;in Fahrtrichtung Lindenthal        ;   
863;30;30;J3   Lindenthal               ;Weyertal, Laterne Nr. 44-28   ;in Fahrtrichtung Kerpener Straße   ;   
864;30;30;J4   Lindenthal               ;Weyertal, Laterne Nr. 28-46   ;in Fahrtrichtung Bachemer Straße   ;   
865;30;30;J5   Sülz                     ;Manderscheider Straße 33-23   ;in Fahrtrichtung Luxemburger Straße;   
866;30;30;J6   Sülz                     ;Manderscheider Platz, 6-16    ;in Fahrtrichtung Berrenrather Str. ;   
867;50;50;J7   Mülheim                  ;Bergischer Ring Höhe Laterne 6;in Fahrtrichtung Rendsburger Platz ;   
868;50;50;J8   Mülheim                  ;Bergischer Ring, Laterne 18-20;in Fahrtrichtung Wiener Platz      ;   
869;30;30;J9   Mülheim                  ;Mülheimer Freiheit, Lat. 8-10 ;in Fahrtrichtung Ferrenbergstraße  ;   
870;30;30;K1   Mülheim                  ;Mülheimer Freiheit, Haus Nr.74;in Fahrtrichtung Neustraße         ;   
871;30;30;K2   Mülheim                  ;Mülheimer Freiheit, 108-110   ;in Fahrtrichtung Dünnwalder Straße ;   
