Sto.-nr.;erl.Geschw. PKW;erl. Geschw. LKW;Standort1;Standort2;Standort3;
6096;50;50;6096 Dellbrück                ;Bergisch-Gladbacher Str. 1186 ;in Fahrtrichtung Stadtauswärts     ;   
6097;50;50;6097 Niehl                    ;Niehler Damm 233              ;in Fahrtrichtung Bremerhavener Str.;   
6098;50;50;6098 Niehl                    ;Niehler Damm 233              ;in Fahrtrichtung Sebastianstraße   ;   
6099;50;50;6099 Rath-Heumar              ;Eiler Straße 43               ;in Fahrtrichtung Forststraße       ;   
6100;50;50;6100 Rath-Heumar              ;Eiler Straße 43               ;in Fahrtrichtung Maarhäuser Weg    ;   
6101;30;30;6101 Holweide                 ;Bergisch-Gladbacher Str. 593  ;in Fahrtrichtung Stadteinwärts     ;   
6102;30;30;6102 Holweide                 ;Bergisch-Gladbacher Str. 593  ;in Fahrtrichtung Stadtauswärts     ;   
6103;30;30;6103 Braunsfeld               ;Friedrich-Schmidtstr.ggü70-70a;in Fahrtrichtung Militärringstraße ;   
6104;30;30;6104 Braunsfeld               ;Friedrich-Schmidtstr.ggü70-70a;in Fahrtrichtung Kitschburgerstraße;   
6105;30;30;6105 Neubrück                 ;Neubrücker Ring 18, Laterne 12;in Fahrtrichtung Brück             ;   
6106;30;30;6106 Neubrück                 ;Neubrücker Ring 18, Laterne 12;in Fahrtrichtung Rath-Heumar       ;   
6107;30;30;6107 Rath-Heumar              ;Rösrather Straße 390          ;in Fahrtrichtung Ostheim           ;   
6108;30;30;6108 Rath-Heumar              ;Rösrather Straße 390          ;in Fahrtrichtung Rösrath           ;   
6109;30;30;6109 Stammheim                ;Stammheimer Ring gegenüber 117;in Fahrtrichtung Egonstraße        ;   
6110;30;30;6110 Stammheim                ;Stammheimer Ring gegenüber 117;in Fahrtrichtung Düsseldorfer Str. ;   
6111;30;30;6111 Junkersdorf              ;Salzburger Weg ggü. Lat.Nr.3-5;in Fahrtrichtung Junkersdorfer Str.;   
6112;30;30;6112 Junkersdorf              ;Salzburger Weg ggü. Lat.Nr.3-5;in Fahrtrichtung Dürener Straße    ;   
6113;50;50;6113 Nippes                   ;Innere Kanalstr. ggü. Lat. 176;in Fahrtrichtung Niehler Straße    ;   
6114;30;30;6114 Junkersdorf              ;Frohnhofweg Haus Nr. 15       ;in Fahrtrichtung Jungbluthgasse    ;   
6115;30;30;6115 Junkersdorf              ;Frohnhofweg Haus Nr. 15       ;in Fahrtrichtung Sterrenhofweg     ;   
6116;30;30;6116 Vogelsang                ;Goldfasanenweg gegenüber 22   ;in Fahrtrichtung Vogelsanger Straße;   
6117;30;30;6117 Vogelsang                ;Goldfasanenweg gegenüber 22   ;in Fahrtrichtung Akazienweg        ;   
6118;50;50;6118 Buchheim                 ;Berg.-Glad.Str. Laterne Nr. 73;in Fahrtrichtung Stadteinwärts     ;   
6119;50;50;6119 Buchheim                 ;Berg.-Glad.Str. Laterne Nr. 73;in Fahrtrichtung Stadtauswärts     ;   
6120;30;30;6120 Rondorf                  ;Westerwaldstraße / vor Kita   ;in Fahrtrichtung Bödinger Straße   ;   
6121;30;30;6121 Rondorf                  ;Westerwaldstraße / vor Kita   ;in Fahrtrichtung Rondorfer Hauptstr;   
6122;30;30;6122 Pesch                    ;Pescher Weg Haus Nr. 79       ;in Fahrtrichtung Lindweiler        ;   
6123;30;30;6123 Pesch                    ;Pescher Weg Haus Nr. 79       ;in Fahrtrichtung Longericher Str.  ;   
6124;10;10;6124 Rath Heumar              ;Am Lusthaus Nr. 15            ;in Fahrtrichtung Rather Kirchweg   ;   
6125;10;10;6125 Rath Heumar              ;Am Lusthaus Nr. 15            ;in Fahrtrichtung Spielplatz        ;   
6126;30;30;6126 Zündorf                  ;Peletierweg Nr. 20            ;in Fahrtrichtung Hauptstraße       ;   
6127;30;30;6127 Zündorf                  ;Peletierweg Nr. 20            ;in Fahrtrichtung Schmittgasse      ;   
6128;30;30;6128 Poll                     ;Poller Hauptstraße 33         ;in Fahrtrichtung Müllergasse       ;   
6129;30;30;6129 Poll                     ;Poller Hauptstraße 33         ;in Fahrtrichtung Auf dem Sandberg  ;   
6130;30;30;6130 Rodenkirchen             ;Eygelshovener Straße 6-12     ;in Fahrtrichtung Feldhamster Str.  ;   
6131;30;30;6131 Rodenkirchen             ;Eygelshovener Straße 6-12     ;in Fahrtrichtung Sürther Str.      ;   
6132;50;50;6132 Esch/Auweiler            ;Chorbuschstraße 72            ;in Fahrtrichtung Sinnersdorf       ;   
6133;50;50;6133 Esch/Auweiler            ;Chorbuschstraße 72            ;in Fahrtrichtung Orrer Straße      ;   
6134;30;30;6134 Pesch                    ;Escher Straße 32              ;in Fahrtrichtung Mozartstraße      ;   
6135;30;30;6135 Pesch                    ;Escher Straße 32              ;in Fahrtrichtung Kapellenweg       ;   
